,rank,no_of_weeks,book,authors,publisher,description,date,author1,author2,nyt_name,good_reads_book,author_link,avg_rating,no_of_ratings,year,author_place,place,geometry.type,geometry.coordinates
0,1,New this week,TICK TOCK,James Patterson and Michael Ledwidge,"Little, Brown",The New York detective Michael Bennett enlists the help of a former colleague to solve a rash of horrifying crimes that are throwing the city into chaos.,2011-02-13,James Patterson,Michael Ledwidge,TICK TOCK,"Tick Tock (Michael Bennett, #4)",https://www.goodreads.com/author/show/3780.James_Patterson?from_search=true&from_srp=true,4.09,29129.0,2011,"Newburgh, New York, The United States","Newburgh, New York, The United States",Point,"[-74.0104178, 41.5034271]"
1,2,New this week,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Knopf Doubleday,A hacker and a journalist investigate the disappearance of a Swedish heiress 40 years earlier; the first volume in the Millennium trilogy.,2011-02-13,Stieg Larsson,,THE GIRL WITH THE DRAGON TATTOO,"The Girl with the Dragon Tattoo (Millennium, #1)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.16,3108073.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
2,3,New this week,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,Knopf Doubleday,"In the second volume of the Millennium trilogy, a Swedish hacker becomes a murder suspect.",2011-02-13,Stieg Larsson,,THE GIRL WHO PLAYED WITH FIRE,"The Girl Who Played with Fire (Millennium, #2)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.25,909723.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
3,4,New this week,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,Knopf Doubleday,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.",2011-02-13,Stieg Larsson,,THE GIRL WHO KICKED THE HORNET’S NEST,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.23,725317.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
4,5,New this week,WATER FOR ELEPHANTS,Sara Gruen,Algonquin,"After his parents die in a car accident, young veterinary student — and an elephant — save a Depression-era circus.",2011-02-13,Sara Gruen,,WATER FOR ELEPHANTS,Water for Elephants,https://www.goodreads.com/author/show/24556.Sara_Gruen?from_search=true&from_srp=true,4.11,1586438.0,2011,"Vancouver, Canada","Vancouver, Canada",Point,"[-123.1207375, 49.2827291]"
5,6,New this week,THE CONFESSION,John Grisham,Knopf Doubleday,"A criminal wants to save an innocent man on death row, but he must convince the authorities he’s telling the truth.",2011-02-13,John Grisham,,THE CONFESSION,The Confession,https://www.goodreads.com/author/show/721.John_Grisham?from_search=true&from_srp=true,3.9,71932.0,2011,"Jonesboro, Arkansas, The United States","Jonesboro, Arkansas, The United States",Point,"[-90.7051346, 35.835696]"
6,7,New this week,CUTTING FOR STONE,Abraham Verghese,Knopf Doubleday,"Twin brothers, conjoined at birth and then separated, grow up amid the political turmoil of Ethiopia.",2011-02-13,Abraham Verghese,,,,,,,2011,,,,
7,8,New this week,MARRYING DAISY BELLAMY,Susan Wiggs,Harlequin,"A woman struggles for years to choose between two men. And then, one fateful day, the decision is made for her.",2011-02-13,Susan Wiggs,,MARRYING DAISY BELLAMY,Marrying Daisy Bellamy (Lakeshore Chronicles #8),https://www.goodreads.com/author/show/21155.Susan_Wiggs?from_search=true&from_srp=true,4.15,7423.0,2011,"Olean, The United States","Olean, The United States",Point,"[-78.42992699999999, 42.083639]"
8,9,New this week,THE HELP,Kathryn Stockett,Penguin Group,A young white woman and two black maids in 1960s Mississippi.,2011-02-13,Kathryn Stockett,,THE HELP,The Help,https://www.goodreads.com/author/show/1943477.Kathryn_Stockett?from_search=true&from_srp=true,4.47,2678112.0,2011,"Jackson, Mississippi, The United States","Jackson, Mississippi, The United States",Point,"[-90.1848103, 32.2987573]"
9,10,New this week,THE INNER CIRCLE,Brad Meltzer,Grand Central,An archivist discovers a book that once belonged to George Washington and conceals a deadly secret.,2011-02-13,Brad Meltzer,,THE INNER CIRCLE,"The Inner Circle (Culper Ring, #1)",https://www.goodreads.com/author/show/14610.Brad_Meltzer?from_search=true&from_srp=true,3.81,24531.0,2011,"Brooklyn, New York, The United States","Brooklyn, New York, The United States",Point,"[-73.9441579, 40.6781784]"
10,11,New this week,STRATEGIC MOVES,Stuart Woods,Penguin Group,"In the 19th Stone Barrington novel, the New York lawyer works with the C.I.A. to transport a fugitive.",2011-02-13,Stuart Woods,,STRATEGIC MOVES,"Strategic Moves (Stone Barrington, #19)",https://www.goodreads.com/author/show/3936.Stuart_Woods?from_search=true&from_srp=true,3.9,7004.0,2011,"Manchester, Georgia, The United States","Manchester, Georgia, The United States",Point,"[-84.6199251, 32.8598538]"
11,12,New this week,WILD MAN CREEK,Robyn Carr,Harlequin,"In Virgin River, a former Army pilot recuperating from a helicopter crash is drawn to a corporate executive searching for a simpler life.",2011-02-13,Robyn Carr,,WILD MAN CREEK,"Wild Man Creek (Virgin River, #12)",https://www.goodreads.com/author/show/107767.Robyn_Carr?from_search=true&from_srp=true,4.29,18274.0,2011,The United States,The United States,Point,"[-95.712891, 37.09024]"
12,13,New this week,DEAD OR ALIVE,Tom Clancy with Grant Blackwood,Penguin Group,Familiar Clancy characters appear as an intelligence group tracks a vicious terrorist called the Emir.,2011-02-13,Tom Clancy with Grant Blackwood,,,,,,,2011,,,,
13,14,New this week,SHADOWFEVER,Karen Marie Moning,Random House,"Hunting for her sister’s murderer, MacKayla Lane is caught up in the struggle between humans and the Fae.",2011-02-13,Karen Marie Moning,,SHADOWFEVER,"Shadowfever (Fever, #5)",https://www.goodreads.com/author/show/48206.Karen_Marie_Moning?from_search=true&from_srp=true,4.39,107814.0,2011,"Cincinnati, Ohio, The United States","Cincinnati, Ohio, The United States",Point,"[-84.5120196, 39.1031182]"
14,15,New this week,ROOM,Emma Donoghue,"Little, Brown",The entire world of the 5-year-old boy who narrates this novel is the 11-by-11-foot room in which his mother is being held prisoner.,2011-02-13,Emma Donoghue,,ROOM,Room,https://www.goodreads.com/author/show/23613.Emma_Donoghue?from_search=true&from_srp=true,4.07,795392.0,2011,"Dublin, Ireland","Dublin, Ireland",Point,"[-6.2603097, 53.3498053]"
15,1,2 weeks on the list,TICK TOCK,James Patterson and Michael Ledwidge,"Little, Brown",The New York detective Michael Bennett enlists the help of a former colleague to solve a rash of horrifying crimes that are throwing the city into chaos.,2011-02-20,James Patterson,Michael Ledwidge,TICK TOCK,"Tick Tock (Michael Bennett, #4)",https://www.goodreads.com/author/show/3780.James_Patterson?from_search=true&from_srp=true,4.09,29129.0,2011,"Newburgh, New York, The United States","Newburgh, New York, The United States",Point,"[-74.0104178, 41.5034271]"
